,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
157,1224695,0.4,False,De Baarsjes - Oud-West,52.38,4.86,Entire home/apt,2,1,1,7,150.0,8,1123,True,0,0,4.77,False,75.0,1200.0,0.06,0.16,0.24,4.99,0.1643835616438356,789.4931506849315
158,1225622,0.6,False,De Baarsjes - Oud-West,52.34,4.86,Entire home/apt,4,2,3,11,160.0,5,30,True,0,0,4.92,False,40.0,800.0,0.09,0.13,0.22,4.99,0.005479452054794521,883.9041095890411
159,1236227,1.0,True,Centrum-West,52.38,4.883,Entire home/apt,4,2,2,23,434.0,1,365,True,2,3,4.52,False,108.5,434.0,0.1,0.14,0.29,10.99,0.0,2585.8333333333335
160,1250364,0.15,False,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,4,2,3,10,260.0,3,1125,True,0,0,4.84,False,65.0,780.0,0.07,0.16,0.23,4.99,0.40821917808219177,1300.0
161,1260229,1.0,False,Centrum-West,52.38,4.89,Entire home/apt,2,1,3,6,190.0,3,30,True,1,0,4.74,False,95.0,570.0,0.07,0.15,0.15,4.99,0.005479452054794521,861.2328767123288
162,1271700,0.44,False,De Baarsjes - Oud-West,52.38,4.867,Entire home/apt,4,2,3,10,300.0,3,14,True,0,1,4.86,False,75.0,900.0,0.13,0.23,0.23,4.99,0.00821917808219178,1500.0
163,1272352,1.0,False,Bos en Lommer,52.38,4.86,Private room,2,1,1,7,127.0,3,100,True,0,4,4.67,True,63.5,381.0,0.07,0.13,0.15,4.99,0.4449760765550239,657.9425837320574
164,1291054,1.0,False,Noord-West,52.44,4.887,Hotel room,2,1,1,1,81.0,3,60,True,1,1,4.51,True,40.5,243.0,0.06,0.11,0.16,4.99,0.7808219178082192,398.1917808219178
165,1311373,0.25,False,De Baarsjes - Oud-West,52.38,4.875,Entire home/apt,4,2,6,2,280.0,4,1125,True,0,0,4.89,True,70.0,1120.0,0.09,0.22,0.2,4.99,0.0136986301369863,1445.2876712328766
166,1315392,0.6599999999999999,True,Centrum-West,52.38,4.887,Entire home/apt,2,1,1,4,140.0,7,180,True,2,1,4.75,False,70.0,980.0,0.06,0.16,0.15,4.99,0.5123287671232877,532.5342465753424
